product_name,category,total_revenue,units_sold,avg_price
Family,Beauty,90053.19,236,413.1738983050847
Teacher,Books,89501.3,253,381.7878048780488
Spend,Home & Kitchen,86868.01,263,355.82492063492066
South,Electronics,83623.68,242,382.6708130081301
Base,Home & Kitchen,83031.52,259,349.2776923076923
Magazine,Home & Kitchen,78622.41,198,427.255
Understand,Books,76763.07,231,359.43262711864406
Save,Sports,75806.56,176,466.79
Pay,Home & Kitchen,71808.47,244,317.19125
Leave,Beauty,68178.84,151,485.95
