year,month,total_revenue,total_transactions,average_order_value,unique_customers
2024,12,151973.03,103,513.4223986486486,95
2025,1,1231443.93,846,480.46973468591494,570
2025,2,1071237.69,772,471.28802903651564,540
2025,3,1215060.58,860,478.55871602993307,582
2025,4,1070511.94,753,478.334200178731,536
2025,5,1301262.37,904,477.5274752293578,589
2025,6,1085643.88,775,468.151737818025,526
2025,7,1203588.69,848,483.9520265379976,561
2025,8,1290522.16,902,471.1654472435195,610
2025,9,1176190.09,819,478.5150895036615,563
2025,10,1205189.69,848,472.80882306786975,563
2025,11,1160949.87,806,479.92966928482844,548
2025,12,1110841.97,760,485.08382969432313,547
