state,total_revenue,total_customers,avg_revenue_per_customer
Alabama,211509.36,14,471.0676169265033
Alaska,253907.03,19,476.37341463414634
Arizona,233759.24,17,499.48555555555555
Arkansas,383121.58,26,465.5183232077764
California,362510.65,26,461.2094783715013
Colorado,213149.31,15,498.01240654205606
Connecticut,363419.47,27,491.771948579161
Delaware,293244.19,21,482.3095230263158
Florida,245004.56,18,450.3760294117647
Georgia,212089.68,16,501.39404255319147
Hawaii,182409.82,13,452.62982630272955
Idaho,364886.48,23,499.16071135430917
Illinois,256660.19,17,499.33889105058364
Indiana,322809.83,21,489.10580303030304
Iowa,247253.52,17,483.8620743639922
Kansas,302874.42,20,473.24128125
Kentucky,248616.55,15,478.10875
Louisiana,249164.35,17,457.1822935779816
Maine,364375.06,24,457.7576130653266
Maryland,275153.24,19,454.0482508250825
Massachusetts,178014.85,14,436.31090686274507
Michigan,300708.53,24,466.21477519379846
Minnesota,311147.89,24,481.65308049535605
Mississippi,272902.04,20,501.6581617647059
Missouri,444520.81,31,477.9793655913978
Montana,235331.82,15,494.3945798319328
Nebraska,217188.04,18,445.97133470225873
Nevada,303582.47,20,480.3520094936709
New Hampshire,269918.77,19,468.60897569444444
New Jersey,360154.68,26,482.13477911646584
New Mexico,240133.71,17,460.9092322456814
New York,417542.99,32,474.4806704545455
North Carolina,264714.89,20,471.86254901960785
North Dakota,215887.82,16,484.0534080717489
Ohio,160204.35,14,451.27985915492957
Oklahoma,424912.0,27,482.8545454545455
Oregon,308992.85,23,476.10608628659475
Pennsylvania,189724.09,13,510.0109946236559
Rhode Island,437578.48,27,492.2142632170979
South Carolina,216744.12,17,462.14098081023457
South Dakota,292798.6,19,469.9817014446228
Tennessee,232013.91,16,492.5985350318471
Texas,349128.38,23,510.4216081871345
Utah,237290.4,14,482.29756097560977
Vermont,348152.8,24,496.6516405135521
Virginia,366301.88,25,480.7111286089239
Washington,267799.83,20,457.7774871794872
West Virginia,255208.96,18,473.48601113172543
Wisconsin,306934.82,20,489.52921850079747
Wyoming,262962.58,19,460.52991243432575
