product_name,category,total_profit,profit_margin,revenue,units_sold
Scene,Electronics,21210.9,32.48245470566724,65299.56,154
Teacher,Books,20651.09,23.0735084294865,89501.3,253
Magazine,Home & Kitchen,19607.34,24.938614830046546,78622.41,198
Spend,Home & Kitchen,19522.95,22.474268721017093,86868.01,263
Wrong,Books,18803.86,34.237727838990445,54921.46,120
If,Home & Kitchen,18788.18,30.944292571958627,60716.14,139
Save,Sports,18511.52,24.419417000322927,75806.56,176
Share,Sports,18228.61,32.434643124995,56201.05,129
Into,Sports,18181.08,33.91323130620859,53610.58,118
Federal,Clothing,17903.35,29.573225876521022,60539.05,135
Policy,Electronics,17422.59,27.89185715664777,62464.79,140
Positive,Beauty,17359.14,31.26497587290518,55522.64,127
Southern,Clothing,17108.65,29.311041934715682,58369.3,129
Son,Electronics,16791.32,33.65320403822736,49895.16,112
Public,Beauty,16730.97,34.000038204641946,49208.68,107
Clearly,Electronics,16613.29,28.98080510910133,57325.15,158
Talk,Sports,16434.07,34.38696406081658,47791.57,111
Before,Books,16178.97,34.519989050193935,46868.41,118
Hospital,Sports,15911.05,28.819943751384525,55208.47,122
Under,Clothing,15882.89,30.887794442958892,51421.25,132
Local,Clothing,15810.59,24.240912871659045,65222.75,238
Memory,Electronics,15471.24,32.702129251623035,47309.58,122
Understand,Books,15306.71,19.940200411473903,76763.07,231
Sea,Electronics,15242.95,34.74602697721111,43869.62,109
Scientist,Home & Kitchen,15183.8,32.86735992657564,46197.2,127
Up,Electronics,15062.68,31.929910841095346,47174.2,114
Wear,Home & Kitchen,14863.6,30.030222967879688,49495.47,133
Very,Books,14720.23,25.671507844424024,57340.73,130
Maybe,Books,14672.46,30.064717439038485,48802.92,133
Turn,Clothing,14595.11,34.285360578498555,42569.51,120
Glass,Electronics,14589.42,31.395831526584548,46469.29,121
Structure,Electronics,14386.35,30.5154883653251,47144.42,137
Reality,Books,14340.1,28.627925408204618,50091.3,115
Travel,Electronics,14215.45,32.823642064376635,43308.57,112
Test,Clothing,14130.63,33.474188713518494,42213.51,98
Treatment,Home & Kitchen,14037.51,31.724347874430656,44248.38,111
Man,Books,13897.25,24.326384646488695,57128.3,217
Society,Sports,13778.46,31.182369355484795,44186.7,116
Card,Clothing,13749.46,33.07695083489503,41568.1,159
Answer,Books,13698.78,33.78733246958314,40544.13,111
Upon,Home & Kitchen,13694.85,25.682289996455637,53324.1,135
Say,Clothing,13637.47,24.442323964248082,55794.49,123
Billion,Clothing,13514.58,32.980907817023116,40976.98,112
Live,Books,13328.26,27.739076286799136,48048.68,142
Result,Home & Kitchen,13249.26,24.15488723504255,54851.26,124
Factor,Beauty,13195.01,27.461736225592738,48048.71,105
Assume,Books,12779.93,33.12713866271904,38578.43,105
Tend,Electronics,12759.72,32.36756151239989,39421.32,115
Tv,Electronics,12690.58,22.019809635386665,57632.56,177
Attention,Clothing,12490.98,22.65106567713394,55145.22,152
Million,Clothing,12468.56,33.38610035301779,37346.56,100
Religious,Home & Kitchen,12466.12,31.72163401739711,39298.48,93
Despite,Beauty,12404.09,34.27058257633673,36194.57,136
Term,Sports,12230.14,26.7492917970944,45721.36,138
Glass,Books,12187.3,23.392512161906673,52099.15,121
Body,Sports,11876.47,24.141703508275157,49194.83,116
However,Beauty,11741.67,32.99475896316774,35586.47,112
Put,Clothing,11737.66,24.50144543511156,47905.99,127
Herself,Books,11704.77,31.19951636467447,37515.87,105
Single,Electronics,11655.31,25.181233080627493,46285.7,109
Mr,Sports,11628.46,31.724820170381847,36654.14,124
Process,Home & Kitchen,11307.64,33.24356774695042,34014.52,109
Green,Beauty,11292.09,26.564366909983224,42508.41,108
Nearly,Clothing,11125.37,24.170995031912256,46027.77,160
True,Electronics,11112.32,23.274277323292228,47745.07,121
Marriage,Beauty,11093.37,27.546925428120268,40270.81,136
Team,Electronics,11024.79,26.72958887290875,41245.64,115
Huge,Home & Kitchen,10934.61,21.31824567683311,51292.26,129
Hotel,Sports,10847.89,34.15284624105517,31762.77,112
Century,Home & Kitchen,10784.73,28.00960843223297,38503.68,105
Plan,Electronics,10756.67,28.52897422765584,37704.37,130
Strategy,Sports,10741.32,23.509296521511317,45689.67,111
President,Electronics,10674.18,19.049293185700527,56034.52,134
Parent,Beauty,10671.5,31.91489998014197,33437.36,117
South,Home & Kitchen,10667.48,18.914015227340062,56399.87,139
South,Electronics,10590.66,12.664666276346605,83623.68,242
And,Electronics,10575.02,32.694329160009296,32345.12,99
Police,Clothing,10446.83,19.400835547618712,53847.32,119
Interest,Clothing,10403.11,18.26631774382897,56952.42,127
Whole,Clothing,10343.8,22.37997360392912,46219.0,120
Theory,Clothing,10311.35,32.48881866145317,31738.15,136
Teacher,Home & Kitchen,10157.72,24.176988622840007,42014.0,142
Base,Home & Kitchen,9986.98,12.027938305838553,83031.52,259
Personal,Sports,9907.07,20.217965556846224,49001.32,115
Leave,Beauty,9891.33,14.507917705845392,68178.84,151
Begin,Sports,9882.63,28.16741356002637,35085.33,82
Necessary,Beauty,9866.32,24.66884043458356,39995.07,125
Performance,Electronics,9779.53,17.671292382873272,55341.34,133
Two,Home & Kitchen,9763.94,22.066742588419498,44247.31,103
Break,Electronics,9677.45,30.490365750800976,31739.37,136
Sign,Electronics,9646.28,22.92899823200354,42070.22,122
Design,Sports,9630.59,34.36700427295222,28022.78,123
Memory,Books,9485.55,19.30111038536904,49145.1,107
Another,Books,9317.36,18.594051091452773,50109.36,160
Dog,Sports,9288.03,20.482948794116595,45345.18,135
Likely,Home & Kitchen,9241.78,21.506811156534077,42971.41,129
Point,Beauty,9225.4,24.881544708781227,37077.28,142
Save,Electronics,9211.48,32.97658000816227,27933.4,112
Firm,Home & Kitchen,9200.45,26.185035471872528,35136.29,124
Fight,Sports,9119.49,18.345866688500543,49708.69,127
Visit,Electronics,8957.81,27.032187332987906,33137.57,132
Office,Books,8905.68,17.757505038718573,50151.64,133
Dinner,Books,8729.81,25.817337621529703,33813.75,139
Realize,Clothing,8703.91,22.90908966485108,37993.26,115
Shoulder,Beauty,8696.11,21.414628104078307,40608.27,112
Article,Books,8685.45,35.29904484148563,24605.34,123
Student,Home & Kitchen,8653.16,17.36374537871649,49834.64,108
