item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0193,3,176.86,10,477.52
ITEM00002,TXN00001,PROD0049,3,415.11,0,1245.33
ITEM00003,TXN00001,PROD0384,2,111.19,0,222.38
ITEM00004,TXN00001,PROD0056,1,302.59,5,287.46
ITEM00005,TXN00002,PROD0310,1,130.24,5,123.73
ITEM00006,TXN00002,PROD0364,1,406.21,15,345.28
ITEM00007,TXN00002,PROD0313,1,201.65,10,181.49
ITEM00008,TXN00003,PROD0037,2,194.18,0,388.36
ITEM00009,TXN00003,PROD0445,2,124.55,0,249.1
ITEM00010,TXN00004,PROD0104,2,371.02,5,704.94
ITEM00011,TXN00004,PROD0429,3,261.11,10,705.0
ITEM00012,TXN00004,PROD0448,1,75.84,10,68.26
ITEM00013,TXN00005,PROD0206,1,451.32,10,406.19
ITEM00014,TXN00005,PROD0214,1,165.69,0,165.69
ITEM00015,TXN00005,PROD0368,2,290.37,15,493.63
ITEM00016,TXN00006,PROD0214,3,165.69,15,422.51
ITEM00017,TXN00007,PROD0065,2,214.8,15,365.16
ITEM00018,TXN00007,PROD0471,2,80.55,5,153.04
ITEM00019,TXN00007,PROD0138,1,255.84,10,230.26
ITEM00020,TXN00008,PROD0268,2,320.84,5,609.6
ITEM00021,TXN00008,PROD0066,3,386.88,0,1160.64
ITEM00022,TXN00008,PROD0175,1,402.73,15,342.32
ITEM00023,TXN00009,PROD0333,1,251.89,0,251.89
ITEM00024,TXN00009,PROD0346,2,220.09,0,440.18
ITEM00025,TXN00009,PROD0214,1,165.69,0,165.69
ITEM00026,TXN00009,PROD0051,2,252.2,5,479.18
ITEM00027,TXN00010,PROD0132,3,492.36,5,1403.23
ITEM00028,TXN00010,PROD0486,2,185.6,0,371.2
ITEM00029,TXN00011,PROD0417,2,99.11,15,168.49
ITEM00030,TXN00011,PROD0356,2,213.64,0,427.28
ITEM00031,TXN00011,PROD0195,3,391.06,10,1055.86
ITEM00032,TXN00012,PROD0086,2,294.25,10,529.65
ITEM00033,TXN00012,PROD0075,2,271.92,5,516.65
ITEM00034,TXN00012,PROD0444,3,395.26,10,1067.2
ITEM00035,TXN00012,PROD0382,3,199.25,0,597.75
ITEM00036,TXN00012,PROD0329,1,219.84,15,186.86
ITEM00037,TXN00013,PROD0305,2,477.03,15,810.95
ITEM00038,TXN00013,PROD0119,3,116.88,0,350.64
ITEM00039,TXN00014,PROD0247,3,190.19,15,484.98
ITEM00040,TXN00014,PROD0033,3,25.27,5,72.02
ITEM00041,TXN00014,PROD0001,3,418.44,5,1192.55
ITEM00042,TXN00014,PROD0121,3,325.75,15,830.66
ITEM00043,TXN00014,PROD0109,2,213.87,5,406.35
ITEM00044,TXN00015,PROD0406,1,175.16,5,166.4
ITEM00045,TXN00015,PROD0036,2,19.79,10,35.62
